Date,Ticker,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio (5yr expected),Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Fiscal Year Ends,Most Recent Quarter  (mrq),Profit Margin,Operating Margin  (ttm),Return on Assets  (ttm),Return on Equity  (ttm),Revenue  (ttm),Revenue Per Share  (ttm),Quarterly Revenue Growth  (yoy),Gross Profit  (ttm),EBITDA,Net Income Avi to Common  (ttm),Diluted EPS  (ttm),Quarterly Earnings Growth  (yoy),Total Cash  (mrq),Total Cash Per Share  (mrq),Total Debt  (mrq),Total Debt/Equity  (mrq),Current Ratio  (mrq),Book Value Per Share  (mrq),Operating Cash Flow  (ttm),Levered Free Cash Flow  (ttm),Beta (5Y Monthly),52 Week Range3,S&P 500 52-Week Change3,52 Week High3,52 Week Low3,50-Day Moving Average3,200-Day Moving Average3,Avg Vol (3 month)3,Avg Vol (10 day)3,Shares Outstanding5,Implied Shares Outstanding6,Float8,% Held by Insiders1,% Held by Institutions1,Shares Short (6/28/2024)4,Short Ratio (6/28/2024)4,Short % of Float (6/28/2024)4,Short % of Shares Outstanding (6/28/2024)4,Shares Short (prior month 5/31/2024)4,Forward Annual Dividend Rate4,Forward Annual Dividend Yield4,Trailing Annual Dividend Rate3,Trailing Annual Dividend Yield3,5 Year Average Dividend Yield4,Payout Ratio4,Dividend Date3,Ex-Dividend Date4,Last Split Factor2,Last Split Date3,Shares Short (8/31/2018)4,Short Ratio (8/31/2018)4,Short % of Float (8/31/2018)4,Short % of Shares Outstanding (8/31/2018)4,Shares Short (prior month 7/31/2018)4,Shares Short4,Short Ratio4,Short % of Float4,Short % of Shares Outstanding4,Shares Short (prior month )4
2024-07-23,FITB,27.82B,--,13.01,12.53,3.92,3.36,1.63,5.93,--,12/31/2023,6/30/2024,28.45%,38.49%,1.10%,12.48%,8.13B,11.86,-1.10%,--,--,2.16B,3.14,0.00%,3.97B,5.83,19.86B,--,--,25.13,--,--,1.26,45.77%,21.83%,41.59,22.49,37.26,33.49,4.15M,5.83M,680.79M,684.04M,676.85M,0.57%,88.25%,25.44M,5.73,4.31%,3.74%,19.87M,1.4,3.43%,1.4,3.43%,3.79,44.59%,7/15/2024,6/28/2024,3:2,7/17/2000,,,,,,,,,,
2024-07-23,FSLR,23.57B,22.27B,23.09,16.45,0.50,6.64,3.42,6.25,15.23,12/31/2023,3/31/2024,28.75%,30.48%,7.18%,16.05%,3.56B,33.36,44.80%,--,1.44B,1.02B,9.54,455.90%,1.99B,18.59,681.52M,9.87%,2.41,64.49,904.58M,-904.99M,1.44,10.11%,21.83%,306.77,129.22,240.98,178.86,3.09M,2.73M,107.04M,107.04M,100.94M,5.67%,92.21%,4.85M,1.44,5.94%,4.53%,5.63M,--,--,0.0,0.00%,--,0.00%,--,--,--,--,,,,,,,,,,
2024-07-23,FE,22.91B,46.53B,21.06,14.79,1.33,1.77,1.85,3.6,12.26,12/31/2023,3/31/2024,8.34%,19.74%,2.78%,9.48%,12.74B,22.22,1.70%,--,3.79B,1.08B,1.89,-13.40%,888M,1.54,24.52B,180.09%,0.65,21.54,1.46B,-2.01B,0.48,-0.62%,21.83%,40.65,32.18,39.13,37.62,2.48M,2.3M,575.52M,575.52M,508.58M,0.12%,91.26%,11.45M,4.61,2.59%,1.99%,11.68M,1.7,4.27%,1.6,4.02%,4.08,84.66%,6/1/2024,5/6/2024,--,--,,,,,,,,,,
2024-07-23,FI,92.81B,116.76B,29.76,18.25,1.06,4.95,3.22,6.01,14.11,12/31/2023,3/31/2024,16.68%,24.19%,3.76%,10.92%,19.43B,32.24,7.40%,--,8.2B,3.24B,5.33,30.60%,1.21B,2.08,24.54B,82.95%,1.06,49.15,4.86B,3.95B,0.92,21.97%,21.83%,159.99,109.12,151.16,141.11,2.38M,2.4M,585.1M,585.1M,580.77M,0.63%,93.25%,7.99M,3.09,1.37%,1.37%,9.59M,--,--,0.0,0.00%,--,0.00%,--,--,2:1,3/20/2018,,,,,,,,,,
2024-07-23,FMC,7.23B,11.15B,5.94,17.57,--,1.79,1.68,2.75,22.63,12/31/2023,3/31/2024,27.65%,12.52%,2.52%,31.21%,4.06B,32.49,-31.70%,--,662.4M,1.22B,9.75,--,420.5M,3.37,4.48B,103.50%,1.46,34.54,313.1M,440.1M,0.84,-39.53%,21.83%,96.81,49.49,59.04,58.53,1.91M,1.37M,124.82M,124.82M,123.94M,0.96%,99.04%,8.66M,3.57,8.90%,6.94%,8.97M,2.32,4.01%,2.32,4.01%,2.15,23.79%,10/17/2024,9/30/2024,1153:1000,3/4/2019,,,,,,,,,,
2024-07-23,F,56.37B,173.33B,14.56,6.82,0.74,0.32,1.31,0.98,15.59,12/31/2023,3/31/2024,2.21%,3.13%,1.12%,9.40%,177.49B,44.43,3.10%,--,11.08B,3.92B,0.97,-24.20%,24.9B,6.24,151.42B,352.99%,1.17,10.74,13.5B,-1.76B,1.63,3.98%,21.83%,14.85,9.63,12.53,12.00,48.46M,58.29M,3.92B,4.14B,3.91B,0.27%,57.62%,113.7M,2.41,3.15%,2.85%,129.45M,0.6,4.25%,0.6,4.25%,5.76,61.86%,6/3/2024,5/7/2024,1748175:1000000,8/3/2000,,,,,,,,,,
2024-07-23,FTNT,44.65B,42.62B,37.95,33.22,1.54,8.48,--,7.9,27.97,12/31/2023,3/31/2024,22.23%,23.65%,11.08%,--,5.4B,6.98,7.20%,--,1.4B,1.2B,1.54,20.80%,3.02B,3.96,1.08B,--,1.20,-0.18,2.09B,1.52B,0.98,-25.39%,21.83%,78.75,44.12,59.76,61.19,5.7M,4.99M,763.94M,763.94M,641.91M,17.50%,70.65%,16.06M,2.73,2.55%,2.10%,16.61M,--,--,0.0,0.00%,--,0.00%,--,--,5:1,6/23/2022,,,,,,,,,,
2024-07-23,FTV,26.97B,30.21B,30.40,20.16,1.29,4.44,2.57,4.93,18.47,12/31/2023,3/29/2024,14.68%,15.68%,4.24%,8.84%,6.13B,17.41,4.40%,--,1.61B,899.6M,2.52,19.50%,704.6M,2,3.94B,37.60%,1.50,29.76,1.44B,1.09B,1.16,3.32%,21.83%,87.10,63.05,74.66,75.75,1.64M,1.38M,352.03M,352.03M,350.35M,0.33%,96.08%,2.63M,1.58,0.84%,0.75%,2.34M,0.32,0.42%,0.3,0.39%,0.41,11.90%,6/28/2024,5/31/2024,1195:1000,10/9/2020,,,,,,,,,,
2024-07-23,FOXA,16.67B,21.02B,11.68,10.06,1.20,1.3,1.64,1.51,7.13,6/30/2023,3/31/2024,11.19%,22.89%,6.81%,14.99%,13.92B,28.54,-15.60%,--,2.81B,1.56B,3.17,--,3.79B,8.12,8.14B,74.50%,3.24,22.54,1.43B,656.75M,0.78,12.34%,21.83%,37.95,28.28,34.32,31.45,2.77M,2.31M,231.15M,467.9M,360.92M,1.09%,111.76%,24.67M,8.13,15.91%,5.29%,24.91M,0.52,1.40%,0.52,1.40%,1.45,16.40%,3/26/2024,3/5/2024,--,--,,,,,,,,,,
2024-07-23,FOX,16.67B,21.02B,10.86,9.35,1.11,1.21,1.52,1.51,7.13,6/30/2023,3/31/2024,11.19%,22.89%,6.81%,14.99%,13.92B,28.54,-15.60%,--,2.81B,1.56B,3.17,--,3.79B,8.12,8.14B,74.50%,3.24,22.54,1.43B,656.75M,0.78,11.14%,21.83%,35.36,25.82,31.91,29.10,1.02M,684.67k,235.58M,484.25M,360.92M,44.00%,55.19%,3.27M,2.68,2.48%,0.70%,3.37M,0.52,1.51%,0.52,1.51%,1.53,16.40%,3/26/2024,3/5/2024,--,--,,,,,,,,,,
