ticker,year,sector,current_ratio,quick_ratio,cash_ratio,operating_cashflow,equity_ratio,debt_to_equity,debt_to_assets,interest_coverage,asset_turnover,receivables_turnover,gross_margin,profit_margin,operating_margin,return_on_equity,return_on_assets,eps,p/e,result
MMM,2017,Industrials,1.885002516356316,2.4183442375440363,0.6338701560140916,1.0207599396074485,0.27177678269685707,2.6745162042434134,0.7268714092598851,-13.368620037807183,0.6686591753970936,6.554244306418219,0.495467037306125,0.17007296964336482,0.22339450990302304,0.4184347555762804,0.11372085163906726,11.324009324009324,18.149305388386626,-0.16793058199575167
MMM,2018,Industrials,1.406527868141401,1.8548037302103666,0.2657774886141835,0.7666449793970939,0.2253297207729685,3.4316804133956076,0.7732595893324974,-15.928571428571429,0.7336707046731902,6.601853717509571,0.4700137341675568,0.1394781016328399,0.21779337707920038,0.45413892477392426,0.1023309971114445,9.778793418647167,17.445471035651924,-0.029047557175656543
MMM,2019,Industrials,1.8924627277747101,2.4951684152401987,0.4463003865267808,0.8888735505245721,0.26838356164383564,2.720702327480604,0.7301917808219178,-22.19142857142857,0.8804383561643836,6.272886980284989,0.5013069454817027,0.16644884241971622,0.24169156086631816,0.546039199673336,0.14654794520547945,9.422680412371134,17.327945834437397,0.016395023473127764
MMM,2020,Industrials,1.857291531156498,2.3820736308052557,0.5371406270326525,0.8117601144789905,0.30439360833969514,2.280117616535501,0.6940532287361466,-22.773291925465838,0.847237212730671,6.460056202328382,0.4874471787223465,0.15094456872980364,0.22784613472532936,0.42013318342990574,0.12788585568747202,7.335149863760218,22.874870555361877,0.047247431308968676
AOS,2017,Industrials,1.825566963782015,2.164165632404378,0.7780661175674151,0.6342096355635789,0.5847755244091499,0.7100578910350052,0.41522447559085013,-60.465753424657535,0.9481127598316829,5.122564102564103,0.3698067874662128,0.1150932692628558,0.14729535822738346,0.18660390629226858,0.10912139715885721,26.00877192982456,2.19808365562915,-0.29715751529701445
AOS,2018,Industrials,1.9574690150032616,2.352772341813438,0.7193737769080235,0.5951728636660143,0.5450621321124918,0.8346532277417806,0.4549378678875082,-41.79090909090909,1.0424787442773054,5.407803223070399,0.37036920856990496,0.11606386649518492,0.1442015119671257,0.22198224142068634,0.1209941137998692,38.96491228070175,1.0323861855099405,0.14968247133898147
AOS,2019,Industrials,2.0864637718069527,2.474468356042277,0.8213421622309945,0.5716286769387495,0.5590102555754517,0.7888759464181713,0.44098974442454825,-65.51190476190476,0.9743447826794726,4.623358566352541,0.43622815517759883,0.14842784107996124,0.18388077655628696,0.2587070471753058,0.14461989256063812,411.1111111111111,0.11120442983266471,0.16565367542842982
AOS,2020,Industrials,2.225875535399345,2.6000251952632905,1.0330057949105569,0.41118669690098264,0.5144492400075061,0.9438263724238556,0.4855507599924939,-50.366336633663366,0.9055169825483205,4.884933355829256,0.42565537250025903,0.10240734984284876,0.17569854591924844,0.1802541187914159,0.09273159442046663,383.22222222222223,0.14012863035304335,0.5962766828927909
ABT,2017,Healthcare,1.7167212564037961,2.137650121777106,0.6003191400016796,0.6635592508608381,0.45189391850912497,1.2062286481210347,0.5450873904173789,-10.17032967032967,0.37754314384958926,4.270346117867166,0.7159912376779847,0.16411098941219424,0.2027382256297919,0.13710956564177648,0.061958978882946464,1.9469387755102041,28.17966297237628,0.2486112966588257
ABT,2018,Healthcare,1.4422351100064439,1.83954708644021,0.38111019055509526,0.5648531713154745,0.4579374548882702,1.1768528049408131,0.5389249782727179,-7.1985074626865675,0.4504249709075375,5.636497695852534,0.6111910523906077,0.12057688534240303,0.15772777814114722,0.11859881626351004,0.054310840072473374,7.946308724832215,8.650174076492721,0.2544483701360203
ABT,2019,Healthcare,1.623612960497115,2.0448291167332444,0.4533954727030626,0.6990679094540613,0.4544087654265851,1.1941750753505438,0.5426436216932399,-4.646489104116223,0.474952733985381,6.15669625627171,0.5604939819458375,0.07422266800401203,0.12029839518555667,0.07757829904337571,0.03525225909219478,13.605166051660516,6.167819986118351,0.27991669222065624
ABT,2020,Healthcare,2.2606597845601435,2.664721723518851,1.0783213644524237,0.625,0.4052065573770492,1.4613716542059099,0.5921573770491804,-3.25,0.45387540983606556,6.593255858258716,0.45943134535367547,0.013782940360610264,0.08489366620434581,0.01543839207690067,0.006255737704918033,12.842857142857143,8.366080295787636,0.3048064102056416
ABBV,2018,Healthcare,,,,,,,,-8.19505033557047,,,1.1896925472475803,0.3523952004396544,0.5964949775593076,0.8518081180811808,,,,0.04036577827393767
ABBV,2019,Healthcare,0.8434109068071596,0.9588988520986707,0.2958375492829978,0.6136561878510869,0.08684621259920965,10.513000917711839,0.9130143127552884,-6.397310513447433,0.22094112177464884,3.770800272047155,0.9543377622798052,0.13876029579751098,0.47192328503577224,0.3530131538696849,0.030657855411284164,37.71291866028708,2.10096475407122,0.24716728246772118
ABBV,2020,Healthcare,3.177350016041065,3.2936798203400706,,0.8549246069939044,-0.09170173371486282,-11.904919236417033,1.091701733714863,-7.677690582959642,0.5139875441844808,8.43846720707443,0.563859051611213,0.17208104095712165,0.2990350187756528,-0.9645129711209006,0.08844751164226,577.0,0.17538243232608047,0.32388960772382885
ABBV,2021,Healthcare,0.9829456464992169,1.0760484946922675,0.46760252914902256,0.7788734845408667,-0.1423035449521499,-8.027231825716315,1.14230354495215,-8.844955489614243,0.9468425663836096,10.437778603268946,0.44548641386550886,0.1011975728241721,0.21216435041016424,-0.6733364906464598,0.09581816956463135,158.1095890410959,0.8475728779437327,0.11580927721613685
